"코드","유형","난이도","영역","역할","문항"
"4-08","MC4","L2","직장 건강","일반","컴퓨터 작업 시 모니터 화면의 높이는 어디에 두는 것이 적절한가?"
"4-09","MC4","L3","직장 건강","일반","근골격계부담작업 유해요인조사에 관한 설명으로 옳은 것은?"
"4-10","MC4","L2","직장 건강","일반","눈의 피로를 줄이기 위한 이른바 '20-20-20 규칙'의 내용은?"
"4-11","MC4","L3","직장 건강","일반","민원인의 폭언 등으로 직원의 건강장해가 우려될 때 사업주가 해야 할 조치가 아닌 것은?"
"4-12","MC4","L1","생활안전","일반","갑자기 한쪽 얼굴이 처지고 팔에 힘이 빠지며 말이 어눌해졌다. 가장 적절한 대응은?"
"5-01","MC4","L3","-","앵커 A1","자동심장충격기(AED) 패드의 올바른 부착 위치는?"
"5-02","MC4","L2","-","앵커 A2","안전신문고에 신고한 위험요인은 이후 어떻게 처리되는가?"
"5-03","ORDER","L2","위험성평가","일반","위험성평가의 실시 절차를 순서대로 배열하시오."
"5-04","MC4","L2","-","측정사후 M01P","사무실 휴지통에서 불이 났다. 소화기를 들고 달려갔을 때 취할 행동을 순서대로 나열한 것은?"
"5-05","MC4","L2","-","측정사후 M02P","사무실 배전반에서 연기가 나며 불꽃이 튀고 있다. 이 화재의 급수와 우선 조치는?"
"5-06","MC4","L1","-","측정사후 M03P","탕비실에서 튀김 요리 중 냄비의 기름에 불이 붙었다. 가장 적절한 조치는?"
"5-07","MC4","L1","-","측정사후 M04P","8층 사무실에서 화재경보가 울리고 복도에 연기가 보인다. 가장 적절한 행동은?"
"5-08","MC4","L3","-","측정사후 M05P","대피 중 복도에서 아래 두 표지를 보았다. ㉠은 녹색 바탕에 백색 사람 그림, ㉡은 백색 바탕에 녹색 화살표다. 출구가 있는 곳으로 향하려면?"
"5-09","MC4","L2","-","측정사후 M06P","사무실에서 책상이 흔들릴 정도의 지진을 느꼈다. 다음 중 가장 위험한 행동은?"
"5-10","MC4","L2","-","전이 T01","작업 중 옷에 불이 붙었다. 가장 올바른 대응은?"
"5-11","MC4","L2","-","전이 T02","대피 중 닫힌 문 앞에 도착했다. 문을 열기 전 반드시 확인해야 할 것은?"
"5-12","OX","L2","안전 법령","일반","급박한 위험이 있어 작업을 중지하고 대피한 근로자에게 사업주가 해고 등 불리한 처우를 하면 처벌 대상이 된다."
"6-01","MC4","L2","-","앵커 A1","길에서 갑자기 쓰러진 사람을 발견했다. 가장 먼저 할 일은?"
"6-02","OX","L1","-","앵커 A2","6주 동안 위험요인을 한 번도 신고하지 않았다면, 우리 주변에 위험이 하나도 없었다는 뜻이다."
"6-03","MC4","L2","안전 법령","일반","중대재해처벌법상 '중대산업재해'에 해당하지 않는 것은?"
"6-04","MC4","L2","-","측정사후 M07P","우리 사무실 사고 위험을 낮추기 위해 가장 먼저 손봐야 할 곳은?"
"6-05","MC4","L1","-","측정사후 M08P","다음 중 화재 위험이 가장 큰 상태는?"
"6-06","MC4","L2","-","측정사후 M09P","노트북만으로 하루 8시간 일하는 직원의 목·어깨 통증을 줄이는 가장 효과적인 개선은?"
"6-07","MC4","L3","-","측정사후 M10P","부서에 새로운 작업 설비를 도입해 직원들의 작업 자세가 크게 바뀌었다. 근골격계 유해요인조사는 언제 실시해야 하는가?"
"6-08","MC4","L2","-","측정사후 M11P","우리 부서 위험성평가를 실시할 때 반드시 참여해야 하는 사람은?"
"6-09","MC4","L2","-","측정사후 M12P","작업 중 천장에서 물이 새 바닥에 고이고 배전반 근처까지 번지고 있다. 가장 적절한 행동은?"
"6-10","MC4","L2","-","전이 T03","동료가 전기 작업 중 감전되어 쓰러졌고 아직 전선을 잡고 있다. 가장 먼저 할 일은?"
"6-11","MC4","L3","-","전이 T04","3일 이상의 휴업이 필요한 산업재해가 발생했을 때 사업주의 보고 의무는?"
"6-12","OX","L1","생활안전","일반","일산화탄소는 냄새가 없어 새고 있어도 알아채기 어렵다."
